California,Mass gathering restrictions,"March 11, 2020"
California,Initial business closure,"March 19, 2020"
California,Educational facilities closed,"March 19, 2020"
California,Non-essential services closed,"March 19, 2020"
California,Stay at home order,"March 19, 2020"
California,Travel severely limited,Not implemented
Kentucky,Mass gathering restrictions,"March 19, 2020"
Kentucky,Initial business closure,"March 18, 2020"
Kentucky,Educational facilities closed,"March 20, 2020"
Kentucky,Non-essential services closed,"March 26, 2020"
Kentucky,Stay at home order,Not implemented
Kentucky,Travel severely limited,Not implemented
Virginia,Mass gathering restrictions,"March 15, 2020"
Virginia,Initial business closure,"March 24, 2020"
Virginia,Educational facilities closed,"March 16, 2020"
Virginia,Non-essential services closed,Not implemented
Virginia,Stay at home order,"March 30, 2020"
Virginia,Travel severely limited,Not implemented
